id,condition,accuracy,clarity,usefulness,voice_fit,leakage_risk,notes
001,A,,,,,,
001,B,,,,,,
002,A,,,,,,
002,B,,,,,,
003,A,,,,,,
003,B,,,,,,
004,A,,,,,,
004,B,,,,,,
005,A,,,,,,
005,B,,,,,,
006,A,,,,,,
006,B,,,,,,
007,A,,,,,,
007,B,,,,,,
008,A,,,,,,
008,B,,,,,,
009,A,,,,,,
009,B,,,,,,
010,A,,,,,,
010,B,,,,,,
011,A,,,,,,
011,B,,,,,,
012,A,,,,,,
012,B,,,,,,
013,A,,,,,,
013,B,,,,,,
014,A,,,,,,
014,B,,,,,,
015,A,,,,,,
015,B,,,,,,
016,A,,,,,,
016,B,,,,,,
017,A,,,,,,
017,B,,,,,,
018,A,,,,,,
018,B,,,,,,
019,A,,,,,,
019,B,,,,,,
020,A,,,,,,
020,B,,,,,,
